index	question	sentence	"label
"
107114	When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?	The benefits of good works could be obtained by donating money to the church.	"not_entailment
"
105298	How many women were employed in construction in 2011?	"In the United States, the industry in 2014 has around $960 billion in annual revenue according to statistics tracked by the Census Bureau, of which $680 billion is private (split evenly between residential and nonresidential) and the remainder is government."	"not_entailment
"
105681	"By the opening of the 2008 General Conference, what was the total UMC membership?"	"Given current trends in the UMCwith overseas churches growing, especially in Africa, and U.S. churches collectively losing about 1,000 members a weekit has been estimated that Africans will make up at least 30% of the delegates at the 2012 General Conference, and it is also possible that 40% of the delegates will be from outside the U.S. One Congolese bishop has estimated that typical Sunday attendance of the UMC is higher in his country than in the entire United States."	"not_entailment
"
108983	"""The term """"southern"""" California usually refers to how many of the southern-most counties of the state?"""	"Southern California is not a formal geographic designation, and definitions of what constitutes southern California vary."	"not_entailment
"
105595	"How much money did Dillon, Read & Co offer Mark Woods for NBC Blue?"	"Once Mutual's appeals against the FCC were rejected, RCA decided to sell NBC Blue in 1941, and gave the mandate to do so to Mark Woods."	"not_entailment
"
108698	On what date was oxygen liquefied in a stable form?	Only a few drops of the liquid were produced in either case so no meaningful analysis could be conducted.	"not_entailment
"
107550	What was the Yuan's Persian ally?	"Buddhism had a great influence in the Yuan government, and the Tibetan-rite Tantric Buddhism had significantly influenced China during this period."	"not_entailment
"
108315	What was the effect of the housing crash on the region?	Southern California's economy is diverse and one of the largest in the United States.	"not_entailment
"
109909	Charleston settler Elie Prioleau was from what French town?	He became pastor of the first Huguenot church in North America in that city.	"not_entailment
"
109925	Who defeated Montcalm at Quebec?	"The victory was made complete in 1760 when, despite losing outside Quebec City in the Battle of Sainte-Foy, the British were able to prevent the arrival of French relief ships in the naval Battle of the Restigouche while armies marched on Montreal from three sides."	"not_entailment
"
105937	Who were otachi?	Confucian scholars were attracted to the medical profession because it ensured a high income and medical ethics were compatible with Confucian virtues.	"not_entailment
"
105682	What did Paul-Louis Simond establish in 1898?	"The investigation of the pathogen that caused the 19th-century plague was begun by teams of scientists who visited Hong Kong in 1894, among whom was the French-Swiss bacteriologist Alexandre Yersin, after whom the pathogen was named Yersinia pestis."	"not_entailment
"
108625	Who killed Harold II?	"Early Norman kings of England, as Dukes of Normandy, owed homage to the King of France for their land on the continent."	"not_entailment
"
108303	"When the election produced an SNP majority government, what was it the first occurrence of?"	The SNP overall majority meant that there was sufficient support in the Scottish Parliament to hold a referendum on Scottish independence.	"not_entailment
"
