index	question	sentence	"label
"	
109758	How long has the African Great Lakes region been inhabited?	"The borders of the modern state consequently comprise the crossroads of the Niger-Congo, Nilo-Saharan and Afroasiatic areas of the continent, representing most major ethnolinguistic groups found in Africa."	"not_entailment
"	
109823	What percent of the global assets in 2000 were owned by just 1% of adults?	"A January 2014 report by Oxfam claims that the 85 wealthiest individuals in the world have a combined wealth equal to that of the bottom 50% of the world's population, or about 3.5 billion people."	"not_entailment
"	a
106621	How many homes did the Alta Vista Tract have five years after Billings & Meyering acquired it?	"The Alta Vista Tract, as the land would become known, was mapped by William Stranahan for the Pacific Improvement Corporation, and was officially platted in 1911."	"not_entailment
"	
104863	What kind of weapons did Tesla's treatise concern?	Tesla published the document in an attempt to expound on the technical description of a "superweapon that would put an end to all war.	not_entailment	a
109973	What is  the time rate of change of electric charge?	The connection between electricity and magnetism allows for the description of a unified electromagnetic force that acts on a charge.	"not_entailment
"	
105068	When did seven Protestant churches agree with the Nazi policy of forcing Jews to wear yellow arm bands?	"""The German people, he urged, ought to heed these words """"of the greatest antisemite of his time, the warner of his people against the Jews."""""""	"not_entailment
"	
104933	Where is the largest number of tourist coming from?	Tourism has seen a substantial revival over the past several years and is the major contributor to the pick-up in the country's economic growth.	"not_entailment
"	
108629	By when did the Germanic tribes conquer the Celtic peoples?	"""However, there was no real systemic continuity from the Western Roman Empire to its German successor which was famously described as """"not holy, not Roman, and not an empire"""", as a great number of small states and principalities existed in the loosely autonomous confederation."""	"not_entailment
"	
106978	When is the suspended team scheduled to return?	"From 2005 to 2014, there were two Major League Soccer teams in Los Angeles "	"not_entailment
"	
107424	In what year was the agreement to allow the Saarland settlement reached?	"The community and its congregation remain active to this day, with descendants of many of the founding families still living in the region."	"not_entailment
"	
107862	What was the estimated population of Pons Aelius around the 2nd century?	"It was given the family name of the Roman Emperor Hadrian, who founded it in the 2nd century AD."	"not_entailment
"	
108748	What is the House of Tides?	"Stairs from the riverside to higher parts of the city centre and the extant Castle Keep, originally recorded in the 14th century, remain intact in places."	"not_entailment
"	
